2026-01-07 21:02:58 | INFO | tracker:update:145 |   - Track 1: car at (177.0, 323.0)
2026-01-07 21:02:58 | INFO | counter:update_counts:151 | Counter received 1 tracked objects
2026-01-07 21:02:58 | INFO | counter:update_counts:158 | Processing track 1: car at position (177.0, 323.0)
2026-01-07 21:02:58 | INFO | detector:detect_vehicles:84 | Detected 2 vehicles in frame
2026-01-07 21:02:58 | INFO | detector:detect_vehicles:86 |   - car at [170, 316, 184, 329] (conf: 0.74)
2026-01-07 21:02:58 | INFO | detector:detect_vehicles:86 |   - car at [270, 531, 337, 599] (conf: 0.54)
2026-01-07 21:02:58 | INFO | tracker:update:143 | Tracking 2 objects
2026-01-07 21:02:58 | INFO | tracker:update:145 |   - Track 1: car at (177.0, 322.5)
2026-01-07 21:02:58 | INFO | tracker:update:145 |   - Track 2: car at (303.5, 565.0)
2026-01-07 21:02:58 | INFO | counter:update_counts:151 | Counter received 2 tracked objects
2026-01-07 21:02:58 | INFO | counter:update_counts:158 | Processing track 1: car at position (177.0, 322.5)
2026-01-07 21:02:58 | INFO | counter:update_counts:158 | Processing track 2: car at position (303.5, 565.0)
2026-01-07 21:02:58 | INFO | detector:detect_vehicles:84 | Detected 2 vehicles in frame
2026-01-07 21:02:58 | INFO | detector:detect_vehicles:86 |   - car at [170, 316, 184, 329] (conf: 0.74)
2026-01-07 21:02:58 | INFO | detector:detect_vehicles:86 |   - car at [270, 531, 337, 599] (conf: 0.57)
2026-01-07 21:02:58 | INFO | tracker:update:143 | Tracking 2 objects
2026-01-07 21:02:58 | INFO | tracker:update:145 |   - Track 1: car at (177.0, 322.5)
2026-01-07 21:02:58 | INFO | tracker:update:145 |   - Track 2: car at (303.5, 565.0)
2026-01-07 21:02:58 | INFO | counter:update_counts:151 | Counter received 2 tracked objects
2026-01-07 21:02:58 | INFO | counter:update_counts:158 | Processing track 1: car at position (177.0, 322.5)
2026-01-07 21:02:58 | INFO | counter:update_counts:158 | Processing track 2: car at position (303.5, 565.0)
2026-01-07 21:02:58 | INFO | detector:detect_vehicles:84 | Detected 2 vehicles in frame
2026-01-07 21:02:58 | INFO | detector:detect_vehicles:86 |   - car at [170, 316, 184, 329] (conf: 0.76)
2026-01-07 21:02:58 | INFO | detector:detect_vehicles:86 |   - car at [270, 531, 337, 599] (conf: 0.64)
2026-01-07 21:02:58 | INFO | tracker:update:143 | Tracking 2 objects
2026-01-07 21:02:58 | INFO | tracker:update:145 |   - Track 1: car at (177.0, 322.5)
2026-01-07 21:02:58 | INFO | tracker:update:145 |   - Track 2: car at (303.5, 565.0)
2026-01-07 21:02:58 | INFO | counter:update_counts:151 | Counter received 2 tracked objects
2026-01-07 21:02:58 | INFO | counter:update_counts:158 | Processing track 1: car at position (177.0, 322.5)
2026-01-07 21:02:58 | INFO | counter:update_counts:158 | Processing track 2: car at position (303.5, 565.0)
2026-01-07 21:02:58 | INFO | detector:detect_vehicles:84 | Detected 3 vehicles in frame
2026-01-07 21:02:58 | INFO | detector:detect_vehicles:86 |   - car at [170, 316, 184, 329] (conf: 0.78)
2026-01-07 21:02:58 | INFO | detector:detect_vehicles:86 |   - car at [270, 531, 336, 599] (conf: 0.64)
2026-01-07 21:02:58 | INFO | detector:detect_vehicles:86 |   - car at [195, 314, 209, 324] (conf: 0.53)
2026-01-07 21:02:58 | INFO | tracker:update:143 | Tracking 2 objects
2026-01-07 21:02:58 | INFO | tracker:update:145 |   - Track 1: car at (177.0, 322.5)
2026-01-07 21:02:58 | INFO | tracker:update:145 |   - Track 2: car at (303.0, 565.0)
2026-01-07 21:02:58 | INFO | counter:update_counts:151 | Counter received 2 tracked objects
2026-01-07 21:02:58 | INFO | counter:update_counts:158 | Processing track 1: car at position (177.0, 322.5)
2026-01-07 21:02:58 | INFO | counter:update_counts:158 | Processing track 2: car at position (303.0, 565.0)
